mnth,yr,n,neo_n
10,2017,1056,
11,2017,994,
12,2017,1044,
1,2018,1050,
2,2018,941,
3,2018,1087,
4,2018,1013,
5,2018,1068,
6,2018,953,
7,2018,996,
8,2018,1005,
9,2018,992,
10,2018,"1,046",236
11,2018,975,231
12,2018,"1,014",251
1,2019,"1,072",240
2,2019,962,211
3,2019,"1,067",229
4,2019,"1,004",219
5,2019,"1,030",260
6,2019,974,252
7,2019,"1,000",281
8,2019,"1,112",288
9,2019,"1,025",265
10,2019,"1,137",294
11,2019,"1,136",294
12,2019,"1,143",305
1,2020,"1,134",308
2,2020,"1,021",268
3,2020,"1,086",261
4,2020,969,271
5,2020,894,254
6,2020,845,232
7,2020,932,251
8,2020,"1,000",282
9,2020,948,260