Area,Site,Code,UTM-X,UTM-Y,
Gatún,Arenosa,ARN,614791,999313,
Gatún,Batería 35,BAT,614566,1014757,
Gatún,Barro Colorado,BCI,623555,1013929,
Río Indio,Boca de Uracillo,BDU,590689,992220,
Río Toabré,Batatilla,BLL,555059,986210,
Alhajuela,Boquerón-Pequení,BOP,653335,1032536,
Río Tinajones,El Amargo,BR1,617598,988761,
Río Tinajones,Caño Quebrado A,BR2,617620,988187,
Río Tinajones,Caño Quebrado D,BR3,617678,987622,
Río Tinajones,Puente Cerro Cama,BR4,618713,990806,
Río Tinajones,Toma de Agua,BR5,618702,990817,
Río Tinajones,Cuarentena,BR6,620889,995781,
Río Cirí Grande,Los Cañones,CAN,603045,939130,
Caño Quebrado,Caño Quebrado,CAQ,629035,995518,
Río Pequení,Candelaria,CDL,662913,1037450,
Río Chilibre,Chilibre salida al Chagras,CH9,647933,1014333,
Río Chagras,Chico,CHI,663701,1024274,
Río Trlnidad,El Chorro,CHR,610919,992099,
Coclé del Norte,Canoa,CNA,548704,982219,
Rio Gatún,Ciento,CNT,637665,1023563,
Río Caño Quebrado,Caño Quebrado Abajo,CQA,629035,995513,
Gatún,Gamboa,DC1,643343,1007463,
Alhajuela,Chagres-Alhajuela,DCH,658718,1020796,
Alhajuela,Estrecho Reporte,ERP,655796,1028887,
Gatún,Escobal,ESC,613557,1010765,
Río Gatuncillo,Río Gatuncillo2,G2,651961,1032267,
Río Gatuncillo,Río Gatuncillo3,G3,650556,1029305,
Quebrada Sardinilla,Río Gatuncillo4,G4,649740,1026856,
Río Gatuncillo,Río Gatuncillo4A,G4A,649823,1026784,
Río Gatuncillo,Río Gatuncillo4B,G4B,649795,1026714,
Río Gatuncillo,Río Gatuncillo5,G5,649569,1024313,
Quebrada Ancha,Río Gatuncillo6A,G6,647636,1021427,
Río Gatuncillo,Río Gatuncillo6A,G6A,647645,1021433,
Río Gatuncillo,Río Gatuncillo6B,G6B,647590,1021369,
Quebrada Azote Caballo,Río Gatuncillo7A,G7,647152,1020049,
Río Gatuncillo,Río Gatuncillo7A,G7A,647168,1019992,
Río Gatuncillo,Río Gatuncillo7B,G7B,647101,1020005,
Quebrada Blanca,Gatuncillo8,G8,647155,1019006,
Río Gatuncillo,Gatuncillo8A,G8A,647213,1019049,
Río Gatuncillo,Gatuncillo8B,G8B,647141,1018933,
Río Los Hules,Hules 3,HJ3,619744,1000341,
Gatún,Humedad,HUM,604887,1001400,
Río Indio,Guarumal,IGU,662560,1017600,
Gatún,Laguna Alta,LAT,629016,999569,
Río Uracillo,Las Marías,LMA,585608,983364,
Miraflores,Boya M12,M12,653047,996463,
Miraflores,Boya M2,M2,654260,995296,
Miraflores,Boya M5,M5,653110,996075,
Gatún,Monte Lirio,MLR,625336,1022563,
Rio Boquerón,Peluca,PEL,653003,1037122,
Alhajuela,Punta del Ñopo,PNP,655234,1023293,
Quebrada El Almendral,Quebrada El Almendral,QAL,623868,990376,
Quebrada El Iguano,Quebrada El Iguano,QIG,622490,992625,
Quebrada Los Gatos,Quebrada Los Gatos,QLG,623756,993989,
Gatún,Las Raíces,RAI,611124,1004849,
Miraflores,Boya Raldroad Pond,RAP,654114,995333,
Río Conguito,Río Conguito,RCN,624815,995044,
Miraflores,Boya Rio Cocolí,RCO,654103,995112,
Río Caño Quebrado,Río Caño Quebrado,RCQ,626644,993858,
Río Cito,Río Cito,RCT,627862,990431,
Río Piedras,Río Piedras,RPD,675962,1026356,
Río Indio,El Silencio,SIL,591327,980274,
Gatún,Toma de Agua Cuipo,TAC,604311,1003233,
Alhajuela,Toma de Agua IDAAN,TAG,652327,1017703,
Gatún,Toma de Agua Represa,TAR,628125,999516,
Gatún,Toma de Agua Sabanitas,TAS,629293,1032673,
Río Indio,Tres Hermanas,THE,590002,995120,
Río Chagras,Guayabalito,TM1,647316,1014963,
Río Chagras,Santa Rosa,TM2,647321,1014774,
Río Chagras,Jujulupá,TM3,645120,1010163,
Río Chagras,Gamboa Hotel,TM4,643964,1003277,
Gatún,Toma de Agua Mendosa,TME,627847,999932,
Gatún,Toma de Agua de Monte Esperanza,TMH,623442,1023413,
Gatún,Toma de Agua Paraíso,TMR,651144,997379,
Río Tinajones,Toma de Agua de Cerro Cama,TN6,620376,995313,
Río Tinajones,Tirajones 1,TN7,621539,996930,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,